battle_slot_id	is_generated_preview_slot	battle_flow_payload_available	battle_slot_source	enemy_deck_id	enemy_deck_source	card_pool_count	reward_plan_id	reward_source	operation_node_count	narrative_key_count	route_gate_count	fallback_policy	legacy_fallback_available	writes_card_data	writes_story_data	writes_battle_state	writes_combat_result	notes
big_map_elite_pool	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_big_map_elite_enemy_elite_blade_counter_elite_advanced	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
big_map_normal_pool	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_big_map_normal_enemy_coastal_raider_blade_advanced	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
normal_boss_01	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_boss_boss_normal_boss_old_case_officer_phase_1	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
prologue_01	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_prologue_01	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
true_boss_01	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_boss_boss_true_boss_gatekeeper_phase_1	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
true_boss_02	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_boss_boss_true_boss_hidden_commander_phase_1	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
wuju_exam_01	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_wuju_exam_01	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
wuju_exam_02	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_wuju_exam_02	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
wuju_exam_03	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_wuju_exam_03	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
wuju_weapon_01	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_wuju_weapon_01	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
wuju_weapon_02	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_wuju_weapon_02	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
wz_exam_01	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_exam_exam_exam_capital_basic_weapon	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
wz_exam_02	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_exam_exam_exam_capital_duel_chain	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
wz_exam_03	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_exam_exam_exam_capital_footwork	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
wz_exam_04	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_exam_exam_exam_capital_mixed_weapon	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
wz_exam_05	true	true	content_engine	boss_normal_boss_old_case_officer_phase_1	content_engine	72	rw_exam_exam_exam_imperial_final_examiner	content_engine	10	28	9	legacy	true	false	false	false	false	flow_source=content_engine_candidate
sample_non_generated_preview_slot	false	false	legacy		legacy	0		legacy	0	0	0	legacy	true	false	false	false	false	non_generated_preview_slot_legacy
