battle_slot_id	is_whitelisted	enemy_deck_candidate_available	enemy_deck_id	card_pool_count	compatible_card_count	unsupported_fields	loadout_candidate_available	fallback_policy	legacy_fallback_available	writes_card_data	writes_battle_state	writes_combat_result	notes
big_map_elite_pool	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
big_map_normal_pool	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
normal_boss_01	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
prologue_01	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
true_boss_01	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
true_boss_02	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
wuju_exam_01	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
wuju_exam_02	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
wuju_exam_03	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
wuju_weapon_01	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
wuju_weapon_02	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
wz_exam_01	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
wz_exam_02	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
wz_exam_03	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
wz_exam_04	true	true	boss_normal_boss_old_case_officer_phase_1	72	72	ai_usage_hint,break_momentum,budget_delta,budget_target,card_class,combo_tags,damage,deck_role,gain_momentum,guard,implementation_status,is_generic,max_distance,min_distance,momentum_cost,move_condition,notes,power_budget,preferred_distance,self_move_after,source_grammar,tactic_role,target_pull_after,target_push_after,weapon_requirement,weapon_style	true	legacy	true	false	false	false	loadout_source=content_engine_candidate
