battle_slot_id	reward_plan_id	legacy_selected_reward_source	preview_candidate_available	selected_reward_unchanged	notes
prologue_01	rw_prologue_01	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
wuju_weapon_01	rw_wuju_weapon_01	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
wuju_weapon_02	rw_wuju_weapon_02	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
wuju_exam_01	rw_wuju_exam_01	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
wuju_exam_02	rw_wuju_exam_02	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
wuju_exam_03	rw_wuju_exam_03	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_coastal_raider_blade_advanced	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_coastal_raider_blade_aggressive	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_coastal_raider_blade_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_coastal_raider_spear_advanced	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_coastal_raider_spear_aggressive	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_coastal_raider_spear_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_corrupt_patrolman_advanced	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_corrupt_patrolman_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_firearm_runner_advanced	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_firearm_runner_aggressive	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_firearm_runner_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_hungry_garrison_advanced	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_hungry_garrison_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_militia_spearman_advanced	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_militia_spearman_aggressive	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_militia_spearman_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_scout_footwork_advanced	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_scout_footwork_aggressive	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_scout_footwork_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_shield_blademan_advanced	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_shield_blademan_aggressive	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_normal_pool	rw_big_map_normal_enemy_shield_blademan_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_elite_pool	rw_big_map_elite_enemy_elite_blade_counter_elite_advanced	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_elite_pool	rw_big_map_elite_enemy_elite_blade_counter_elite_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_elite_pool	rw_big_map_elite_enemy_elite_dual_blade_raider_elite_advanced	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_elite_pool	rw_big_map_elite_enemy_elite_dual_blade_raider_elite_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_elite_pool	rw_big_map_elite_enemy_elite_firearm_guard_elite_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_elite_pool	rw_big_map_elite_enemy_elite_military_officer_elite_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_elite_pool	rw_big_map_elite_enemy_elite_spear_instructor_elite_advanced	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
big_map_elite_pool	rw_big_map_elite_enemy_elite_spear_instructor_elite_basic	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
normal_boss_01	rw_boss_boss_normal_boss_old_case_officer_phase_1	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
true_boss_01	rw_boss_boss_true_boss_gatekeeper_phase_1	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
true_boss_02	rw_boss_boss_true_boss_hidden_commander_phase_1	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
true_boss_02	rw_boss_boss_true_boss_hidden_commander_phase_2	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
wz_exam_01	rw_exam_exam_exam_capital_basic_weapon	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
wz_exam_02	rw_exam_exam_exam_capital_duel_chain	legacy	true	true	preview 仅作为 candidate，对正式 selected_reward 无写入
