deck_id	deck_skeleton_id	archetype_id	scope	route_type	battle_type	tier	variant_index	deck_variant_role	card_slot_index	slot_role	card_id	card_class	card_weapon_style	card_rarity	card_tactic_role	card_deck_role	card_power_budget	card_budget_delta	preferred_distance_min	preferred_distance_max	selection_score	selection_reason	required_card_tags	forbidden_card_tags	card_tags	source_card_pool	notes
enemy_coastal_raider_blade_basic	enemy_coastal_raider_blade_basic	coastal_raider_blade	big_map_normal	common	normal	basic	1	basic	1	attack	blade_close_slash	attack	blademaster	common	approach	attack	5	1	1	2	124.00	role_match,weapon_match,required_tag_match,distance_match,tactic_match,rarity_fit	role_approach,role_counter,variant_basic,weapon_blademaster	boss_only,player_only,true_boss_only,weapon_mismatch	weapon_blademaster,role_approach,deck_attack,ai_close_in	generated_card_pool.tsv	
enemy_coastal_raider_blade_basic	enemy_coastal_raider_blade_basic	coastal_raider_blade	big_map_normal	common	normal	basic	1	basic	2	attack	blade_close_slash	attack	blademaster	common	approach	attack	5	1	1	2	112.00	role_match,weapon_match,required_tag_match,distance_match,tactic_match,rarity_fit,repeat_penalty	role_approach,role_counter,variant_basic,weapon_blademaster	boss_only,player_only,true_boss_only,weapon_mismatch	weapon_blademaster,role_approach,deck_attack,ai_close_in	generated_card_pool.tsv	
enemy_coastal_raider_blade_basic	enemy_coastal_raider_blade_basic	coastal_raider_blade	big_map_normal	common	normal	basic	1	basic	3	attack	blade_follow_step	attack	blademaster	uncommon	pressure	attack	6	-2	1	2	110.00	role_match,weapon_match,required_tag_match,distance_match,tactic_match,rarity_fit	role_approach,role_counter,variant_basic,weapon_blademaster	boss_only,player_only,true_boss_only,weapon_mismatch	weapon_blademaster,role_pressure,deck_attack,ai_stick	generated_card_pool.tsv	
enemy_coastal_raider_blade_basic	enemy_coastal_raider_blade_basic	coastal_raider_blade	big_map_normal	common	normal	basic	1	basic	4	guard	blade_counter_cut	guard	blademaster	uncommon	counter	guard	7	-1	1	2	110.00	role_match,weapon_match,required_tag_match,distance_match,rarity_fit	role_approach,role_counter,variant_basic,weapon_blademaster	boss_only,player_only,true_boss_only,weapon_mismatch	weapon_blademaster,role_counter,deck_guard,ai_counter	generated_card_pool.tsv	
enemy_coastal_raider_blade_basic	enemy_coastal_raider_blade_basic	coastal_raider_blade	big_map_normal	common	normal	basic	1	basic	5	guard	blade_inside_guard	guard	blademaster	common	guard	guard	5	1	1	2	106.00	role_match,weapon_match,required_tag_match,distance_match,rarity_fit	role_approach,role_counter,variant_basic,weapon_blademaster	boss_only,player_only,true_boss_only,weapon_mismatch	weapon_blademaster,role_guard,deck_guard,ai_stabilize	generated_card_pool.tsv	
enemy_coastal_raider_blade_basic	enemy_coastal_raider_blade_basic	coastal_raider_blade	big_map_normal	common	normal	basic	1	basic	6	movement	blade_quick_entry	movement	blademaster	common	approach	movement	4	0	1	2	124.00	role_match,weapon_match,required_tag_match,distance_match,tactic_match,rarity_fit	role_approach,role_counter,variant_basic,weapon_blademaster	boss_only,player_only,true_boss_only,weapon_mismatch	weapon_blademaster,role_approach,deck_movement,ai_setup	generated_card_pool.tsv	
enemy_coastal_raider_blade_basic	enemy_coastal_raider_blade_basic	coastal_raider_blade	big_map_normal	common	normal	basic	1	basic	7	posture_break	blade_opening_break	posture_break	blademaster	uncommon	break	posture_break	6	-2	1	2	100.00	role_match,weapon_match,required_tag_match,distance_match,rarity_fit	role_approach,role_counter,variant_basic,weapon_blademaster	boss_only,player_only,true_boss_only,weapon_mismatch	weapon_blademaster,role_break,deck_posture_break,ai_break_open	generated_card_pool.tsv	
enemy_coastal_raider_blade_basic	enemy_coastal_raider_blade_basic	coastal_raider_blade	big_map_normal	common	normal	basic	1	basic	8	tempo	blade_tempo_feint	tempo	blademaster	uncommon	combo_bridge	tempo	5	1	1	2	102.00	role_match,weapon_match,required_tag_match,distance_match,rarity_fit	role_approach,role_counter,variant_basic,weapon_blademaster	boss_only,player_only,true_boss_only,weapon_mismatch	weapon_blademaster,role_tempo,deck_tempo,ai_setup	generated_card_pool.tsv	
enemy_coastal_raider_blade_basic	enemy_coastal_raider_blade_basic	coastal_raider_blade	big_map_normal	common	normal	basic	1	basic	9	combo	blade_dual_cut_chain	combo	blademaster	rare	burst	combo	7	-5	1	2	101.00	role_match,weapon_match,required_tag_match,distance_match,tactic_match	role_approach,role_counter,variant_basic,weapon_blademaster	boss_only,player_only,true_boss_only,weapon_mismatch	weapon_blademaster,role_burst,deck_combo,ai_burst	generated_card_pool.tsv	
enemy_coastal_raider_blade_advanced	enemy_coastal_raider_blade_advanced	coastal_raider_blade	big_map_normal	common	normal	basic	2	advanced	1	attack	blade_close_slash	attack	blademaster	common	approach	attack	5	1	1	2	124.00	role_match,weapon_match,required_tag_match,distance_match,tactic_match,rarity_fit	role_approach,role_counter,variant_advanced,weapon_blademaster	boss_only,player_only,true_boss_only,weapon_mismatch	weapon_blademaster,role_approach,deck_attack,ai_close_in	generated_card_pool.tsv	
